,title,budget,genres,id,keywords,overview,popularity,vote_average,vote_count,cast,director,executive_producer,writer,original_music_composer,director_photography,production_country,production_company,languages
1664,Oldboy,3000000,Drama Thriller Mystery Action,670,sushi restaurant rage and hate notebook daughter hostility,"With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate businessman seeks revenge on his captors.",56.763490000000004,8.0,1945,Choi Min-sik Yoo Ji-tae Kang Hye-jung Kim Byeong-ok Oh Dal-su,Park Chan-wook,['Dong-ju Kim'],,['Young-wuk Cho'],['Chung Chung-hoon'],['South Korea'],"['Show East', 'Egg Films']",['한국어/조선말']
1665,Old Dogs,35000000,Comedy Family,22949,japanese camp best friend co-worker kids,"Charlie and Dan have been best friends and business partners for thirty years; their Manhattan public relations firm is on the verge of a huge business deal with a Japanese company. With two weeks to sew up the contract, Dan gets a surprise: a woman he married on a drunken impulse nearly nine years before (annulled the next day) shows up to tell him he's the father of her twins, now seven, and she'll be in jail for 14 days for a political protest. Dan volunteers to keep the tykes, although he's up tight and clueless. With Charlie's help is there any way they can be dad and uncle, meet the kids' expectations, and still land the account?",13.707842999999999,5.2,210,Robin Williams John Travolta Seth Green Justin Long Matt Dillon,Walt Becker,['Garrett Grant'],['David Diamond'],,['Jeffrey L. Kimball'],['United States of America'],"['Walt Disney Pictures', 'Tapestry Films']","['English', 'Український']"
1666,Old School,24000000,Comedy,11635,sex doll streaking mouth to mouth resuscitation,Three friends attempt to recapture their glory days by opening up a fraternity near their alma mater.,24.70166,6.6,541,Luke Wilson Will Ferrell Vince Vaughn Ellen Pompeo Leah Remini,Todd Phillips,"['Ivan Reitman', 'Tom Pollock']",,,['Mark Irwin'],['United States of America'],"['DreamWorks SKG', 'The Montecito Picture Company']",['English']
1667,Oliver!,10000000,Drama Family Music,17917,pickpocket musical victorian england orphan,"Musical adaptation of Charles Dickens' Oliver Twist, a classic tale of an orphan who runs away from the workhouse and joins up with a group of boys headed by the Artful Dodger and trained to be pickpockets by master thief Fagin.",8.305997999999999,7.0,103,Ron Moody Shani Wallis Oliver Reed Harry Secombe Mark Lester,Carol Reed,,,,['Oswald Morris'],['United Kingdom'],"['Columbia Pictures Corporation', 'Romulus Films', 'Warwick Film Productions']",['English']
1668,Oliver Twist,50000000,Crime Drama Family,257,london england child abuse street gang runaway child labour,"Oliver Twist the modern filmed version of Charles Dickens bestseller, a Roman Polanski adaptation. The classic Dickens tale, where an orphan meets a pickpocket on the streets of London. From there, he joins a household of boys who are trained to steal for their master.",20.415572,6.7,274,Barney Clark Ben Kingsley Jamie Foreman Harry Eden Edward Hardwicke,Roman Polanski,,,['Rachel Portman'],['Pawel Edelman'],"['France', 'Italy', 'United Kingdom', 'Czech Republic']","['Runteam III Ltd.', 'R.P. Productions', 'ETIC Films']",['English']
1669,Olympus Has Fallen,70000000,Action Thriller,117263,white house secret service terrorist attack,"When the White House (Secret Service Code: ""Olympus"") is captured by a terrorist mastermind and the President is kidnapped, disgraced former Presidential guard Mike Banning finds himself trapped within the building. As the national security team scrambles to respond, they are forced to rely on Banning's inside knowledge to help retake the White House, save the President and avert an even bigger disaster.",59.428222999999996,6.2,2981,Gerard Butler Aaron Eckhart Angela Bassett Morgan Freeman Radha Mitchell,Antoine Fuqua,,"['Creighton Rothenberger', 'Katrin Benedikt']",['Trevor Morris'],['Conrad W. Hall'],['United States of America'],"['Nu Image Films', 'Millennium Films']","['한국어/조선말', 'English']"
1670,Once,160000,Drama Music Romance,5723,rock and roll pop irland music style love of one's life,"A vacuum repairman moonlights as a street musician and hopes for his big break. One day a Czech immigrant, who earns a living selling flowers, approaches him with the news that she is also an aspiring singer-songwriter. The pair decide to collaborate, and the songs that they compose reflect the story of their blossoming love.",19.052179000000002,7.3,453,Glen Hansard Mark\u00e9ta Irglov\u00e1 Hugh Walsh Gerard Hendrick Alaistair Foley,John Carney,['David Collins'],,"['Glen Hansard', 'Mark\\u00e9ta Irglov\\u00e1']",['Tim Fleming'],['Ireland'],"['Summit Entertainment', 'Samson Films', 'RTE']",['English']
1671,Once Upon a Time in Mexico,29000000,Action,1428,corruption cia,"Hitman ""El Mariachi"" becomes involved in international espionage involving a psychotic CIA agent and a corrupt Mexican general.",27.55564600000001,6.2,594,Antonio Banderas Salma Hayek Johnny Depp Eva Mendes Mickey Rourke,Robert Rodriguez,,,['Robert Rodriguez'],,['United States of America'],"['Columbia Pictures Corporation', 'Troublemaker Studios', 'Dimension Films']","['Español', 'English']"
1672,Once Upon a Time in the West,5000000,Western,335,showdown bounty bounty hunter loss of brother sadness,This classic western masterpiece is an epic film about a widow whose land and life are in danger as the railroad is getting closer and closer to taking them over. A mysterious harmonica player joins forces with a desperado to protect the woman and her land.,49.333137,8.1,1128,Henry Fonda Claudia Cardinale Jason Robards Charles Bronson Gabriele Ferzetti,Sergio Leone,['Bino Cicogna'],,['Ennio Morricone'],['Tonino Delli Colli'],"['United States of America', 'Spain', 'Italy']","['Rafran Cinematografica', 'Finanzia San Marco', 'Paramount Pictures']",['English']
1673,On Deadly Ground,50000000,Action Thriller,9624,fight inuit petrol company alaska,"Forrest Taft is an environmental agent who works for the Aegis Oil Company in Alaska. Aegis Oil's corrupt CEO, Michael Jennings, is the kind of person who doesn't care whether or not oil spills into the ocean or onto the land, just as long as it's making money for him.",9.114168,4.5,104,Steven Seagal Michael Caine Joan Chen John C. McGinley R. Lee Ermey,Steven Seagal,"['Robert Watts', 'Jeffrey Robinov']",,['Basil Poledouris'],['Ric Waite'],['United States of America'],['Warner Bros.'],"['English', 'Český']"
1674,Ondine,12000000,Drama Romance,38448,alcohol mermaid wedding dress fishing net selkie,An Irish fisherman discovers a woman in his fishing net believing her to be a mermaid.,5.841285,6.5,84,Colin Farrell Alicja Bachleda-Curu\u015b Dervla Kirwan Alison Barry Marion O'Dwyer,Neil Jordan,"['Peter Rawlinson', 'Ned Dowd', ""Morgan O'Sullivan"", 'Michael Maher']",['Neil Jordan'],['Kjartan Sveinsson'],['Christopher Doyle'],"['United States of America', 'Ireland']","['Radio Telefís Éireann (RTÉ)', 'Octagon Films', 'Irish Film Board', 'Wayfare Entertainment', 'Little Wave Productions', 'Start Motion Pictures']","['Français', 'Română', 'English']"
1675,One Day,15000000,Drama Romance,51828,based on novel comedian job love male female relationship,"A romantic comedy centered on Dexter and Emma, who first meet during their graduation in 1988 and proceed to keep in touch regularly. The film follows what they do on July 15 annually, usually doing something together.",16.629173,7.0,978,Anne Hathaway Jim Sturgess Patricia Clarkson Ken Stott Romola Garai,Lone Scherfig,,,,,"['United Kingdom', 'United States of America']","['Film 4', 'Color Force']",['English']
1676,One Flew Over the Cuckoo's Nest,3000000,Drama,510,individual rebel self-destruction wheelchair lunatic asylum,"While serving time for insanity at a state mental hospital, implacable rabble-rouser, Randle Patrick McMurphy inspires his fellow patients to rebel against the authoritarian rule of head nurse, Mildred Ratched.",127.525581,8.2,2919,Jack Nicholson Louise Fletcher Danny DeVito William Redfield Scatman Crothers,Milo\u0161 Forman,,,['Jack Nitzsche'],['Haskell Wexler'],['United States of America'],"['Fantasy Films', 'Warner Bros.', 'United Artists']",['English']
1677,One for the Money,40000000,Action Comedy Crime,54054,bounty hunter based on novel romance framed bail jumper,"An unemployed lingerie buyer convinces her bail bondsman cousin to give her a shot as a bounty hunter. Her first assignment is to track down a former cop on the run for murder – the same man who broke her heart years before. With the help of some friends and the best bounty hunter in the business, she slowly learns what it takes to be a true bounty hunter.",19.438503,5.3,388,Katherine Heigl Jason O'Mara Daniel Sunjata John Leguizamo Sherri Shepherd,Julie Anne Robinson,,,['Deborah Lurie'],['James Whitaker'],['United States of America'],"['Sidney Kimmel Entertainment', 'Lakeshore Entertainment']",['English']
1678,One Hour Photo,12000000,Horror Thriller,9357,sexual abuse hotel room cheating supermarket penalty,"Sy ""the photo guy"" Parrish has lovingly developed photos for the Yorkin family since their son was a baby. But as the Yorkins' lives become fuller, Sy's only seems lonelier, until he eventually believes he's part of their family. When ""Uncle"" Sy's picture-perfect fantasy collides with an ugly dose of reality, what happens next ""has the spine-tingling elements of the best psychological thrillers!""",20.624896,6.6,435,Robin Williams Connie Nielsen Michael Vartan Erin Daniels Eriq La Salle,Mark Romanek,,['Mark Romanek'],"['Johnny Klimek', 'Reinhold Heil']",['Jeff Cronenweth'],['United States of America'],"['Fox Searchlight Pictures', 'Catch 23 Entertainment']",['English']
1679,One Night with the King,20000000,Drama,15005,based on novel persia queen esther,"This amazing biblical drama chronicles the brave and historic legend of Hadassah, a Jewish orphan with exceptional beauty who rises to become Queen Esther of Persia and saves Persian Jews from genocide. By revealing her heritage to the king, Esther thwarts the evil prime minister's plan to annihilate all Jews in the Persian Empire. The annual festival of Purim is inspired by her heroism.",3.476925,6.1,12,Tiffany Dupont Peter O'Toole Luke Goss John Noble Omar Sharif,Michael O. Sajbel,,,['J.A.C. Redford'],['Steven Bernstein'],['United States of America'],['Gener8Xion Entertainment'],['English']
1680,Ong Bak 2,8500000,Adventure Action Thriller,16353,sequel,Moments from death a young man is rescued by a renowned warrior. Realizing unsurpassed physical potential in the young boy he trains him into the most dangerous man alive. As he becomes a young man he goes on a lone mission of vengeance against the vicious slave traders who enslaved him as a youth and the treacherous warlord who killed his father.,9.029489,6.0,152,Tony Jaa Sarunyu Wongkrachang Sorapong Chatree Primorata Dejudom,Tony Jaa,,"['Tony Jaa', 'Panna Rittikrai']",,,['Thailand'],['Iyara Films'],"['Pусский', 'Český', '普通话', 'ภาษาไทย']"
1681,On Her Majesty's Secret Service,6500000,Adventure Action Thriller,668,london england suicide england switzerland secret identity,"James Bond tracks archnemesis Ernst Blofeld to a mountaintop retreat where he's training an army of beautiful but lethal women. Along the way, Bond falls for Italian contessa Tracy Draco -- and marries her in order to get closer to Blofeld. Meanwhile, he locates Blofeld in the Alps and embarks on a classic ski chase.",25.289665,6.5,456,George Lazenby Diana Rigg Telly Savalas Gabriele Ferzetti Ilse Steppat,Peter R. Hunt,,,['John Barry'],['Michael Reed'],"['United Kingdom', 'United States of America']","['Danjaq', 'United Artists', 'Eon Productions']","['Deutsch', 'English']"
1682,Only God Forgives,4800000,Drama Thriller Crime,77987,bangkok suicidal arthouse neo-noir drug trafficker,"Julian, who runs a Thai boxing club as a front organization for his family's drug smuggling operation, is forced by his mother Jenna to find and kill the individual responsible for his brother's recent death.",35.754865,5.6,862,Ryan Gosling Kristin Scott Thomas Gordon Brown Tom Burke Vithaya Pansringarm,Nicolas Winding Refn,,['Nicolas Winding Refn'],['Cliff Martinez'],['Larry Smith'],"['France', 'Sweden', 'Thailand', 'United States of America', 'Denmark']","['Wild Bunch', 'A Grand Elephant', 'Film i Väst', 'Bold Films', 'Gaumont']","['ภาษาไทย', 'English']"
1683,Only the Strong,6000000,Action,15797,,"Former Green Beret Louis Stevens returns to his hometown of Miami after completing military service in Brazil, only to learn that his old high school has become a haven for gangs and drug dealers. After Stevens uses his capoeira skills to kick several drug dealers off of the school property, Kerrigan, one of Stevens' old teachers, sees the impact that Stevens has on the students. Kerrigan gives him the task of teaching Capoeira to a handful of the worst at-risk students at the school.",5.411243,6.9,29,Mark Dacascos Geoffrey Lewis Stacey Travis Paco Christian Prieto Todd Susman,Sheldon Lettich,,"['Sheldon Lettich', 'Luis Esteban\t']",['Harvey W. Mason'],['Edward J. Pei'],['United States of America'],"['Davis Films', 'Freestone Pictures']",['English']
1684,On the Road,25000000,Adventure Drama,83770,based on novel cemetery narration nudity funeral,"Dean and Sal are the portrait of the Beat Generation. Their search for ""It"" results in a fast paced, energetic roller coaster ride with highs and lows throughout the U.S.",14.613152,5.5,301,Garrett Hedlund Sam Riley Kristen Stewart Amy Adams Tom Sturridge,Walter Salles,['Francis Ford Coppola'],,['Gustavo Santaolalla'],['Eric Gautier'],"['United Kingdom', 'France', 'United States of America', 'Brazil']","['Nomadic Pictures', 'Jerry Leider Company', 'Kramer & Sigman Films', 'France Télévisions', 'Ciné+', 'Film4', 'MK2 Productions', 'SPAD Films', 'Canal+', 'Vanguard Films', 'VideoFilmes', 'France 2 Cinéma', 'American Zoetrope']","['Français', 'English']"
1685,On the Waterfront,910000,Crime Drama,654,murder suspense union dock longshoreman,"Terry Malloy dreams about being a prize fighter, while tending his pigeons and running errands at the docks for Johnny Friendly, the corrupt boss of the dockers union. Terry witnesses a murder by two of Johnny's thugs, and later meets the dead man's sister and feels responsible for his death. She introduces him to Father Barry, who tries to force him to provide information for the courts that will smash the dock racketeers.",16.015598999999998,8.0,357,Marlon Brando Karl Malden Lee J. Cobb Rod Steiger Pat Henning,Elia Kazan,,,['Leonard Bernstein'],['Boris Kaufman'],['United States of America'],"['Columbia Pictures', 'Horizon Pictures']",['English']
1686,Opal Dream,5000000,Drama Family Foreign,15699,miner australia terminal illness imaginary friend independent film,"Pobby &amp; Dingan are invisible. They live in an opal town in Australia and are friends with Kellyanne, the 9 year-old daughter of an opal miner. The film tells the story of the bizarre and inexplicable disappearance of Pobby &amp; Dingan, Kellyanne's imaginary friends, and the impact this has on her family and the whole town. The story is told through the eyes of Kellyanne's 11 years old brother Ashmol.",1.458884,6.1,7,Sapphire Boyce Christian Byers Vince Colosimo Jacqueline McKenzie Robert Morgan,Peter Cattaneo,,,,,['Australia'],['Renaissance Films'],['English']
1687,Open Range,22000000,Western,2055,horse beef ranger,A former gunslinger is forced to take up arms again when he and his cattle crew are threatened by a corrupt lawman.,19.068175,7.0,262,Kevin Costner Robert Duvall Michael Gambon Michael Jeter Diego Luna,Kevin Costner,,['Craig Storper'],['Michael Kamen'],['James Muro'],['United States of America'],"['Tig Productions', 'Touchstone Pictures', 'Cobalt Media Group', 'Beacon Pictures']",['English']
1688,Open Season,85000000,Adventure Animation Family,7484,hunter mountains garage grizzly bear bunny,"Boog, a domesticated 900lb. Grizzly bear finds himself stranded in the woods 3 days before Open Season. Forced to rely on Elliot, a fast-talking mule deer, the two form an unlikely friendship and must quickly rally other forest animals if they are to form a rag-tag army against the hunters.",26.61951,6.1,656,Martin Lawrence Ashton Kutcher Gary Sinise Debra Messing Billy Connolly,Jill Culton,,,,,['United States of America'],['Sony Pictures Animation'],['English']
1689,Open Water,130000,Drama Thriller,83,diving cataclysm nightmare panic red sea,"Two divers are left out at sea without a boat. There’s nothing but water for miles, unless they look at what’s underneath them...",15.611857,5.4,315,Blanchard Ryan Daniel Travis Saul Stein Michael E. Williamson Christina Zenato,Chris Kentis,['Estelle Lau'],,['Graeme Revell'],"['Chris Kentis', 'Laura Lau']",['United States of America'],['Plunge Pictures LLC'],['English']
1690,Original Sin,42000000,Drama Thriller Mystery Romance,2057,women sex cuba eroticism lover (female),"A young man is plunged into a life of subterfuge, deceit and mistaken identity in pursuit of a femme fatale whose heart is never quite within his grasp",14.831401999999999,5.8,198,Angelina Jolie Antonio Banderas Gregory Itzin Jack Thompson Allison Mackie,Michael Cristofer,,,['Terence Blanchard'],['Rodrigo Prieto'],"['United States of America', 'France']",['Metro-Goldwyn-Mayer (MGM)'],"['Español', 'English', 'Deutsch', 'Latin', '日本語']"
1691,Orphan,20000000,Horror Thriller Mystery,21208,nun deaf-mute orphan all girl troubled marriage,"A married couple with a rocky past adopt 9-year old, Esther to fill the void created by a recently-stillborn baby. However, Esther is not quite who she seems.",29.295801,6.7,1261,Vera Farmiga Peter Sarsgaard Isabelle Fuhrman CCH Pounder Jimmy Bennett,Jaume Collet-Serra,"['Steve Richards', 'Don Carmody', 'Michael Ireland']",,['John Ottman'],['Jeff Cutter'],"['United States of America', 'Germany', 'Canada', 'France']","['Don Carmody Productions', 'Studio Canal', 'Studio Babelsberg StudioBabelsberg Motion Pictures', 'Dark Castle Entertainment']","['Français', 'English', 'Eesti']"
1692,Osmosis Jones,75000000,Adventure Animation Action Comedy Family,12610,cold flu lethal virus construction worker,"A policeman white blood cell, with the help of a cold pill, must stop a deadly virus from destroying the human they live in, Frank.",10.54544,5.9,228,Chris Rock Laurence Fishburne David Hyde Pierce Brandy Norwood Bill Murray,Bobby Farrelly,,,['Randy Edelman'],['Mark Irwin'],['United States of America'],"['Warner Bros.', 'Warner Bros. Animation', 'Conundrum Entertainment']",['English']
1693,Ouija,5000000,Horror,242512,death of a friend swimming pool ouija ouija board teenager,A group of friends must confront their most terrifying fears when they awaken the dark powers of an ancient spirit board.,56.30466,4.9,983,Olivia Cooke Ana Coto Daren Kagasoff Bianca A. Santos Douglas Smith,Stiles White,,,['Anton Sanko'],['David Emmerichs'],"['Japan', 'United States of America']","['Media Rights Capital', 'Fuji Television Network', 'Platinum Dunes', 'Hasbro Studios', '5150 Action', 'White Noise Factory', 'Dentsu Inc.', 'Universal Pictures', 'Blumhouse Productions']",['English']
1694,Our Brand Is Crisis,28000000,Comedy Drama,10317,bolivia woman political campaign south america year 2002,"A feature film based on the documentary ""Our Brand Is Crisis"", which focuses on the use of American political campaign strategies in South America.",12.921594,5.8,195,Sandra Bullock Anthony Mackie Billy Bob Thornton Zoe Kazan Scoot McNairy,David Gordon Green,"['Nina Wolarsky', 'Sandra Bullock', 'Stuart M. Besser']",,['David Wingo'],['Tim Orr'],['United States of America'],"['Participant Media', 'Smokehouse Pictures']",['English']
1695,Our Family Wedding,14000000,Comedy,34563,interracial marriage wedding duringcreditsstinger,"The weeks leading up to a young couple's wedding is comic and stressful, especially as their respective fathers try to lay to rest their feud.",6.733485000000001,5.7,39,Forest Whitaker America Ferrera Carlos Mencia Regina King Lance Gross,Rick Famuyiwa,,,,,['United States of America'],"['Pointe Studios', 'Fox Searchlight Pictures', 'Dune Entertainment', 'Sneak Preview Entertainment']",['English']
1696,Our Idiot Brother,10000000,Comedy Drama,59968,brother sister relationship sister sister relationship family clan idealist duringcreditsstinger,"Everybody has the sibling who is always just a little bit behind the curve when it comes to getting his life together. For sisters Liz, Miranda and Natalie, that person is their perennially upbeat brother Ned, an erstwhile organic farmer whose willingness to rely on the honesty of mankind is a less-than-optimum strategy for a tidy, trouble-free existence. Ned may be utterly lacking in common sense, but he is their brother and so, after his girlfriend dumps him and boots him off the farm, his sisters once again come to his rescue. As Liz, Miranda and Natalie each take a turn at housing Ned, their brother's unfailing commitment to honesty creates more than a few messes in their comfortable routines. But as each of their lives begins to unravel, Ned's family comes to realize that maybe, in believing and trusting the people around him, Ned isn't such an idiot after all.",15.688439,5.9,365,Paul Rudd Elizabeth Banks Zooey Deschanel Emily Mortimer Adam Scott,Jesse Peretz,,,,['Yaron Orbach'],['United States of America'],"['Likely Story', 'The Weinstein Company', 'Yuk Films', 'Big Beach Films']",['English']
1697,Outbreak,50000000,Action Drama Science Fiction Thriller,6950,river general research army serum,"A deadly airborne virus finds its way into the USA and starts killing off people at an epidemic rate. Col Sam Daniels' job is to stop the virus spreading from a small town, which must be quarantined, and to prevent an over reaction by the White House.",30.397496000000004,6.3,513,Dustin Hoffman Rene Russo Morgan Freeman Kevin Spacey Cuba Gooding Jr.,Wolfgang Petersen,"['Anne Kopelson', 'Duncan Henderson']",,['James Newton Howard'],['Michael Ballhaus'],['United States of America'],"['Kopelson Entertainment', 'Arnold Kopelson Productions', 'Warner Bros.', 'Punch Productions']","['English', 'Français', '한국어/조선말']"
1698,Out Cold,24000000,Comedy,14369,manager alcohol races mountains gondola,"Animal House meets Casablanca in this outrageous snowboarding comedy. Rick Rambis and his friends are having the time of their lives on Bull Mountain until the legendary Papa Muntz' son decides to sell the mountain to sleazy land developer John Majors, having the staff fired and turning Bull Mountain into 'Yuppieville'.",4.12064,5.8,53,Jason London Lee Majors Zach Galifianakis Victoria Silvstedt David Koechner,Brendan Malloy,,['Jon Zack'],,,['United States of America'],"['Epsilon Motion Pictures', 'Spyglass Entertainment', 'Touchstone Pictures', ""Donners' Company""]",['English']
1699,Out of Africa,31000000,Drama,606,dancing train station denmark fire cemetery,"Out of Africa tells the story of the life of Danish author Karen Blixen, who at the beginning of the 20th century moved to Africa to build a new life for herself. The film is based on the autobiographical novel by Karen Blixen from 1937.",13.864975,7.0,279,Meryl Streep Robert Redford Klaus Maria Brandauer Michael Kitchen Malick Bowens,Sydney Pollack,,,['John Barry'],['David Watkin'],['United States of America'],"['Universal Pictures', 'Mirage Entertainment']","['Kiswahili', 'English']"
1700,Out of Sight,48000000,Romance Comedy Crime,1389,journalist bedroom purse trunk elmore leonard,"Meet Jack Foley, a smooth criminal who bends the law and is determined to make one last heist. Karen Sisco is a federal marshal who chooses all the right moves … and all the wrong guys. Now they're willing to risk it all to find out if there's more between them than just the law. Variety hails Out of Sight as ""a sly, sexy, vastly entertaining film.""",16.000178,6.5,333,George Clooney Jennifer Lopez Ving Rhames Don Cheadle Albert Brooks,Steven Soderbergh,"['Barry Sonnenfeld', 'John Hardy']",,['David Holmes'],['Elliot Davis'],['United States of America'],"['Universal Pictures', 'Jersey Films']",['English']
1701,Out of the Furnace,22000000,Thriller Drama Crime,164457,prison brother brother relationship drug dealer brother revenge,"Two brothers live in the economically-depressed Rust Belt, when a cruel twist of fate lands one in prison. His brother is then lured into one of the most violent crime rings in the Northeast.",29.230297999999998,6.5,720,Christian Bale Zoe Saldana Woody Harrelson Sam Shepard Willem Dafoe,Scott Cooper,,,,['Masanobu Takayanagi'],['United States of America'],"['Energy Entertainment', 'Relativity Media', 'Scott Free Productions', 'Red Granite Pictures', 'Appian Way']",['English']
1702,Out of Time,50000000,Thriller Crime Drama,2116,miami florida double murder divorce,"Matt Lee Whitlock, respected chief of police in small Banyan Key, Florida, must solve a vicious double homicide before he himself falls under suspicion. Matt Lee has to stay a few steps ahead of his own police force and everyone he's trusted in order to find out the truth.",14.993459,6.1,298,Denzel Washington Eva Mendes Sanaa Lathan John Billingsley Dean Cain,Carl Franklin,"['Alex Gartner', 'Damien Saccani', 'Jon Berg', 'Kevin Reidy']",,['Graeme Revell'],['Theo van de Sande'],['United States of America'],"['Monarch Pictures', 'Metro-Goldwyn-Mayer (MGM)', 'Original Film']",['English']
1703,Outside Providence,7000000,Romance Comedy Drama,14578,suicide sex sexuality college police,"In this coming-of-age comedy, Tim Dunphy is leading a go-nowhere existence, spending his days smoking pot and hanging out with his best friend, Drugs Delaney. But Tim's lazy days of getting high are jettisoned after a brush with the law convinces his blue-collar dad to send him to a Connecticut prep school. The one saving grace of the new school is Jane, a fellow student Tim falls for immediately.",2.627232,5.6,30,Shawn Hatosy Amy Smart Alec Baldwin Jon Abrahams Richard Jenkins,Michael Corrente,,,,,['United States of America'],"['Eagle Beach Productions', 'Miramax Films']",['English']
1704,Over the Hedge,80000000,Comedy Animation Family,7518,squirrel eating and drinking vororte garden grizzly bear,"A scheming raccoon fools a mismatched family of forest creatures into helping him repay a debt of food, by invading the new suburban sprawl that popped up while they were hibernating – and learns a lesson about family himself.",36.32705,6.3,1074,Bruce Willis Garry Shandling Steve Carell Wanda Sykes William Shatner,Karey Kirkpatrick,,,,,['United States of America'],"['Pacific Data Images (PDI)', 'DreamWorks Animation']",['English']
1705,Oz: The Great and Powerful,200000000,Fantasy Adventure Family,68728,circus witch magic hope illusion,"Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.",46.985445,5.7,3530,James Franco Mila Kunis Rachel Weisz Michelle Williams Zach Braff,Sam Raimi,"['Philip Steuer', 'Grant Curtis', 'Joshua Donen', 'Palak Patel']",,,['Peter Deming'],['United States of America'],"['Walt Disney Pictures', 'Roth Films']",['English']
1706,Pacific Rim,180000000,Action Science Fiction Adventure,68726,dystopia giant robot giant monster apocalypse imax,"When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse.",56.523205000000004,6.7,4794,Idris Elba Charlie Hunnam Charlie Day Ron Perlman Burn Gorman,Guillermo del Toro,['Callum Greene'],,['Ramin Djawadi'],['Guillermo Navarro'],"['United States of America', 'Canada']","['Disney Double Dare You (DDY)', 'Legendary Pictures', 'Warner Bros.', 'Indochina Productions']",['English']
1707,Paddington,55000000,Family Comedy,116149,england train station based on novel bear anthropomorphism,"A young Peruvian bear with a passion for all things British travels to London in search of a home. Finding himself lost and alone at Paddington Station, he begins to realize that city life is not all he had imagined - until he meets the kindly Brown family, who read the label around his neck ('Please look after this bear. Thank you.') and offer him a temporary haven. It looks as though his luck has changed until this rarest of bears catches the eye of a museum taxidermist...",39.882276,7.0,883,Nicole Kidman Peter Capaldi Ben Whishaw Michael Gambon Imelda Staunton,Paul King,['Michael Hirsh'],,,,['United Kingdom'],"['Anton Capital Entertainment (ACE)', 'Canal+', 'TF1 Films Production', 'StudioCanal', 'Heyday Films', 'Ciné+', 'TF1', 'Amazon Prime Instant Video', 'The Weinstein Company']",['English']
1708,Pain & Gain,25000000,Thriller Crime Action,134374,miami scam crime weight lifting weightlifting,"Daniel Lugo, manager of the Sun Gym in 1990s Miami, decides that there is only one way to achieve his version of the American dream: extortion. To achieve his goal, he recruits musclemen Paul and Adrian as accomplices. After several failed attempts, they abduct rich businessman Victor Kershaw and convince him to sign over all his assets to them. But when Kershaw makes it out alive, authorities are reluctant to believe his story.",31.893932,6.1,1573,Mark Wahlberg Dwayne Johnson Anthony Mackie Tony Shalhoub Ed Harris,Michael Bay,"['Matthew Cohan', 'Scott Gardenhour', 'Wendy Japhet']",,['Steve Jablonsky'],['Ben Seresin'],['United States of America'],"['Paramount Pictures', 'De Line Pictures']",['English']
1709,Paint Your Wagon,20000000,Drama Action Comedy Western Music,20391,mining prospector,"A Michigan farmer and a prospector form a partnership in the California gold country. Their adventures include buying and sharing a wife, hijacking a stage, kidnapping six prostitutes, and turning their mining camp into a boom town. Along the way there is plenty of drinking, gambling, and singing. They even find time to do some creative gold mining.",7.9025360000000004,6.2,63,Lee Marvin Clint Eastwood Jean Seberg Harve Presnell Ray Walston,Joshua Logan,,,,['William A. Fraker'],['United States of America'],"['Paramount Pictures', 'Alan Jay Lerner Productions', 'Malpaso Productions']","['English', 'Español']"
1710,Pan,150000000,Adventure Family Fantasy,266647,flying magic fairy tale peter pan mermaid,"Living a bleak existence at a London orphanage, 12-year-old Peter finds himself whisked away to the fantastical world of Neverland. Adventure awaits as he meets new friend James Hook and the warrior Tiger Lily. They must band together to save Neverland from the ruthless pirate Blackbeard. Along the way, the rebellious and mischievous boy discovers his true destiny, becoming the hero forever known as Peter Pan.",48.03528,5.9,954,Levi Miller Garrett Hedlund Hugh Jackman Rooney Mara Amanda Seyfried,Joe Wright,['Tim Lewis'],,['John Powell'],"['Seamus McGarvey', 'John Mathieson']",['United States of America'],"['Warner Bros.', 'RatPac-Dune Entertainment', 'Berlanti Productions', 'Moving Picture Company (MPC)']",['English']
1711,Pandorum,33000000,Action Horror Mystery Science Fiction Thriller,19898,dystopia spaceship survival mission,"Two crew members wake up on an abandoned spacecraft with no idea who they are, how long they've been asleep, or what their mission is. The two soon discover they're actually not alone – and the reality of their situation is more horrifying than they could have imagined.",28.353517,6.5,774,Ben Foster Dennis Quaid Cam Gigandet Antje Traue Cung Le,Christian Alvart,"['Martin Moszkowicz', 'Dave Morrison']",['Travis Milloy'],,['Wedigo von Schultzendorff'],"['United Kingdom', 'Germany']","['Impact Pictures', 'Constantin Film Produktion']","['English', 'Deutsch', 'Tiếng Việt']"
